,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
128,Atos Syntel,3.6,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Troy 
129,Swiggy,3.8,NaN,"Job Security, Promotions / Appraisal",Internet ,Bangalore 
130,Optum,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Healthcare ,Prairie 
131,BNY,4.0,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Financial Services ,New York City 
132,Amdocs,3.9,Company Culture,Promotions / Appraisal,Software Product ,Chesterfield 
133,Hewlett Packard Enterprise,4.2,"Company Culture, Work Life Balance, Job Security",NaN,IT Services & Consulting ,Houston 
134,State Bank of India,3.8,Job Security,Work Life Balance,Banking ,Mumbai 
135,Bosch,4.2,"Company Culture, Work Life Balance, Job Security",NaN,Auto Components ,Gerlingen 
136,CBRE,4.2,"Skill Development / Learning, Job Security, Company Culture",NaN,Real Estate ,Los Angeles 
137,Hyundai Motor India Limited,4.4,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Automobile ,Seoul 
138,Dell,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Consumer Electronics & Appliances ,Round Rock 
139,JBM Group,4.0,"Job Security, Skill Development / Learning",NaN,Auto Components ,Gurgaon/Gurugram 
140,SBI Life Insurance Company,3.9,Job Security,Promotions / Appraisal,Insurance ,Mumbai 
141,Persistent Systems,3.6,NaN,"Promotions / Appraisal, Job Security, Salary & Benefits",IT Services & Consulting ,Pune 
142,Schneider Electric,4.2,"Company Culture, Work Life Balance, Job Security",NaN,Industrial Automation ,Paris 
143,Ecom Express,3.9,NaN,Promotions / Appraisal,Logistics ,Gurgaon 
144,Oyo Rooms,3.3,NaN,"Job Security, Promotions / Appraisal, Work Satisfaction",Hospitality ,Gurgaon 
145,Bajaj Auto,3.9,Company Culture,Promotions / Appraisal,Automobile ,Pune 
